Player,Pos,Age,MP,Starts,Min,90s,Season
Luis López\ccb491d0,GK,20,0,0,,,2021
Diego Piñeiro\ef6a4afe,GK,17,0,0,,,2021
Toni Fuidias\33d2c795,GK,20,0,0,,,2021
Thibaut Courtois\1840e36d,GK,28,51,51,4590,51,2020
Casemiro\4d224fe8,MF,28,46,43,3939,43.8,2020
Karim Benzema\70d74ece,FW,32,46,43,3875,43.1,2020
Luka Modrić\6025fab1,MF,34,48,43,3711,41.2,2020
Raphaël Varane\9f8e9423,DF,27,41,41,3570,39.7,2020
Ferland Mendy\3cefcaef,DF,25,38,36,3260,36.2,2020
Toni Kroos\6ce1f46f,MF,30,42,36,3189,35.4,2020
Lucas Vázquez\fd51b456,DF,29,34,31,2778,30.9,2020
Nacho\2946f9a1,DF,30,33,30,2765,30.7,2020
Vinicius Júnior\7111d552,FWMF,20,49,31,2717,30.2,2020
Marco Asensio\45af8a54,FW,24,48,29,2608,29,2020
Federico Valverde\0959c2a2,MF,22,33,21,1964,21.8,2020
Sergio Ramos\08511d65,DF,34,21,21,1788,19.9,2020
Éder Militão\2784f898,DFMF,22,21,19,1730,19.2,2020
Marcelo\603116a7,DFMF,32,19,15,1336,14.8,2020
Rodrygo\8f5e92a6,FW,19,33,13,1306,14.5,2020
Dani Carvajal\4958bfb2,DF,28,15,13,1116,12.4,2020
Isco\a0b4bb3e,FWMF,28,29,10,1103,12.3,2020
Álvaro Odriozola\1d1691ad,DF,24,16,10,959,10.7,2020
Eden Hazard\a39bb753,FW,29,21,11,895,9.9,2020
Mariano\5c4dc0ff,FW,26,22,7,690,7.7,2020
Martin Ødegaard\79300479,FWMF,21,9,5,367,4.1,2020
Miguel Gutiérrez\7e98cff1,DF,19,6,3,316,3.5,2020
Blanco\506daeac,MF,20,4,2,220,2.4,2020
Víctor Chust\ec1a731e,DF,20,3,2,215,2.4,2020
Luka Jović\4d8cd038,FW,22,5,3,207,2.3,2020
Sergio Arribas\1e465e70,FW,18,10,0,167,1.9,2020
Marvin\efaefda0,FW,20,4,2,133,1.5,2020
Andriy Lunin\3061e1ec,GK,21,1,1,120,1.3,2020
Hugo Duro\37e103f8,FW,20,3,0,70,0.8,2020
Borja Mayoral\64e8ed6d,FW,23,2,0,23,0.3,2020
Luis López\ccb491d0,GK,19,0,0,,,2020
Lucas Cañizars\7e84906e,GK,18,0,0,,,2020
Óscar Aranda\4d3bdda7,FW,18,0,0,,,2020
Pablo Ramon\03cb6ca0,DF,19,0,0,,,2020
Altube\e4cbb095,GK,20,0,0,,,2020
Sergio Santos\cf59e05f,DF,19,0,0,,,2020
Casemiro\4d224fe8,MF,27,46,46,4077,45.3,2019
Karim Benzema\70d74ece,FW,31,48,45,3967,44.1,2019
Thibaut Courtois\1840e36d,GK,27,43,43,3855,42.8,2019
Raphaël Varane\9f8e9423,DF,26,43,43,3842,42.7,2019
Sergio Ramos\08511d65,DF,33,44,44,3825,42.5,2019
Dani Carvajal\4958bfb2,DF,27,42,42,3750,41.7,2019
Toni Kroos\6ce1f46f,MF,29,45,41,3564,39.6,2019
Federico Valverde\0959c2a2,MF,21,44,30,2714,30.2,2019
Luka Modrić\6025fab1,MF,33,40,28,2628,29.2,2019
Ferland Mendy\3cefcaef,DF,24,32,25,2408,26.8,2019
Marcelo\603116a7,DF,31,23,21,1852,20.6,2019
Vinicius Júnior\7111d552,FW,19,38,17,1828,20.3,2019
Isco\a0b4bb3e,MFFW,27,30,20,1611,17.9,2019
Eden Hazard\a39bb753,FW,28,22,20,1531,17,2019
Éder Militão\2784f898,DF,21,20,15,1472,16.4,2019
Rodrygo\8f5e92a6,FW,18,26,16,1425,15.8,2019
Gareth Bale\a58bb1e1,FW,30,20,14,1257,14,2019
Lucas Vázquez\fd51b456,FWMF,28,23,10,1040,11.6,2019
Luka Jović\4d8cd038,FW,21,27,8,818,9.1,2019
Alphonse Areola\2f965a72,GK,26,9,8,765,8.5,2019
James Rodríguez\715bf047,MF,28,14,9,728,8.1,2019
Nacho\2946f9a1,DF,29,10,7,687,7.6,2019
Álvaro Odriozola\1d1691ad,DF,23,5,5,433,4.8,2019
Marco Asensio\45af8a54,FWMF,23,10,3,366,4.1,2019
Brahim Díaz\407feb71,FW,19,10,1,214,2.4,2019
Mariano\5c4dc0ff,FW,25,7,0,91,1,2019
Javi\9a76c2e9,DF,21,0,0,,,2019
Adrián de la Fuente\5932c94a,DF,20,0,0,,,2019
Altube\e4cbb095,GK,19,0,0,,,2019
Miguel Gutiérrez\7e98cff1,DF,18,0,0,,,2019
Luis López\ccb491d0,GK,18,0,0,,,2019
Keylor Navas\ecada4fc,GK,32,0,0,,,2019
Karim Benzema,FW,30,51,50,4109,45.7,2018
Raphaël Varane,DF,25,41,40,3594,39.9,2018
Sergio Ramos,DF,32,40,40,3479,38.7,2018
Luka Modrić,MF,32,44,39,3380,37.6,2018
Toni Kroos,MF,28,41,37,3265,36.3,2018
Casemiro,MF,26,41,38,3230,35.9,2018
Thibaut Courtois,GK,26,33,33,2970,33,2018
Dani Carvajal,DF,26,35,33,2961,32.9,2018
Marcelo,DF,30,32,30,2676,29.7,2018
Lucas Vázquez,FW,27,45,27,2508,27.9,2018
Nacho,DF,28,30,27,2490,27.7,2018
Gareth Bale,FW,29,40,27,2466,27.4,2018
Marco Asensio,FW,22,43,24,2363,26.3,2018
Keylor Navas,GK,31,21,21,1920,21.3,2018
Dani Ceballos,MFFW,21,33,19,1908,21.2,2018
Álvaro Odriozola,DF,22,22,21,1856,20.6,2018
Sergio Reguilón,DF,21,22,21,1794,19.9,2018
Vinicius Júnior,FW,18,30,20,1735,19.3,2018
Isco,MFFW,26,36,17,1723,19.1,2018
Federico Valverde,MF,20,25,10,1129,12.5,2018
Marcos Llorente,MF,23,14,12,1006,11.2,2018
Mariano,FW,24,19,4,615,6.8,2018
Jesús Vallejo,DFMF,21,7,6,491,5.5,2018
Brahim Díaz,FW,18,11,5,394,4.4,2018
Javi Sánchez,DF,21,5,3,348,3.9,2018
Luca Zidane,GK,20,1,1,90,1,2018
Cristo González,FW,20,4,0,84,0.9,2018
Francisco Garcia,DF,18,1,0,45,0.5,2018
Borja Mayoral,FW,21,1,0,19,0.2,2018
Álvaro Fidalgo,MF,21,1,0,13,0.1,2018
Kiko Casilla,GK,31,0,0,,,2018
Andriy Lunin,GK,19,0,0,,,2018
Adrián de la Fuente,DF,19,0,0,,,2018
Franchu Feuillassier,MF,20,0,0,,,2018
Jaime Seoane,MF,21,0,0,,,2018
Jaume Grau,MF,21,0,0,,,2018
Keylor Navas,GK,30,42,42,3780,42,2017
Casemiro,MF,25,46,43,3763,41.8,2017
Sergio Ramos,DF,31,41,41,3639,40.4,2017
Raphaël Varane,DF,24,42,42,3620,40.2,2017
Marcelo,DF,29,42,40,3488,38.8,2017
Cristiano Ronaldo,FW,32,42,40,3487,38.7,2017
Toni Kroos,MF,27,42,39,3472,38.6,2017
Dani Carvajal,DF,25,40,39,3384,37.6,2017
Nacho,DF,27,41,33,3195,35.5,2017
Luka Modrić,MF,31,41,36,3154,35,2017
Karim Benzema,FW,29,45,37,3069,34.1,2017
Marco Asensio,FWMF,21,52,28,2846,31.6,2017
Isco,MF,25,47,34,2812,31.2,2017
Lucas Vázquez,MFFW,26,51,27,2789,31,2017
Gareth Bale,FWMF,28,37,26,2338,26,2017
Mateo Kovačić,MF,23,35,20,1757,19.5,2017
Theo Hernández,DF,19,23,17,1650,18.3,2017
Kiko Casilla,GK,30,17,17,1530,17,2017
Achraf Hakimi,DF,18,16,13,1225,13.6,2017
Marcos Llorente,MF,22,20,11,1067,11.9,2017
Jesús Vallejo,DF,20,12,12,1002,11.1,2017
Borja Mayoral,FWMF,20,24,9,936,10.4,2017
Dani Ceballos,MFFW,20,22,9,903,10,2017
Álvaro Tejero,DF,21,2,2,180,2,2017
Luca Zidane,GK,19,1,1,90,1,2017
Óscar Rodríguez Arnaiz,MF,19,1,1,74,0.8,2017
Franchu Feuillassier,MF,19,2,1,71,0.8,2017
Luismi Quezada,DF,21,1,0,16,0.2,2017
Jaime Seoane,MF,20,1,0,10,0.1,2017
Moha,GK,17,0,0,,,2017
Manu Hernando,DF,19,0,0,,,2017
Cristo González,FW,19,0,0,,,2017
